CELL_ID,PC_1,PC_2,PC_3,UMAP_1,UMAP_2,UMAP_3,CLUSTER,STAGE_LR,STAGE_HR,STRAIN,DAY,HOST
X32706_8_5_sorted.bam,NA,NA,NA,-4.829432157,-0.963676996,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_6_sorted.bam,NA,NA,NA,-9.477379945,4.797096186,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_7_sorted.bam,NA,NA,NA,0.568862649,-13.03964526,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_8_sorted.bam,NA,NA,NA,0.988353076,-13.62632472,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_9_sorted.bam,NA,NA,NA,-10.27857128,1.373159819,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_10_sorted.bam,NA,NA,NA,-9.811879305,-1.898084469,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_11_sorted.bam,NA,NA,NA,6.159830424,-17.01321418,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_12_sorted.bam,NA,NA,NA,7.996303412,-16.09210212,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_13_sorted.bam,NA,NA,NA,3.110192629,-9.184277601,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_14_sorted.bam,NA,NA,NA,7.364097926,-12.66947181,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_15_sorted.bam,NA,NA,NA,-10.60105148,3.96930831,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_16_sorted.bam,NA,NA,NA,-10.26806655,4.098258906,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_17_sorted.bam,NA,NA,NA,6.834850642,-11.59636504,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_18_sorted.bam,NA,NA,NA,2.009192976,-9.346095152,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_19_sorted.bam,NA,NA,NA,-5.364123014,-1.559082932,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_20_sorted.bam,NA,NA,NA,-13.26033607,-0.303592748,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_21_sorted.bam,NA,NA,NA,3.331373783,-10.97485358,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_23_sorted.bam,NA,NA,NA,-8.602945474,5.350970679,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
